train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-15,2024-06-14,2024-06-15,2024-07-14,15,6,16.67,-0.41,False
2024-05-15,2024-08-14,2024-08-15,2024-09-14,13,9,100.0,1.2,True
2024-08-15,2024-11-14,2024-11-15,2024-12-14,16,6,66.67,1.66,True
2024-09-15,2024-12-14,2024-12-15,2025-01-14,9,8,50.0,0.58,True
2024-10-15,2025-01-14,2025-01-15,2025-02-14,14,10,80.0,0.69,True
2024-11-15,2025-02-14,2025-02-15,2025-03-14,20,13,7.69,-0.96,False
2025-01-15,2025-04-14,2025-04-15,2025-05-14,12,10,70.0,0.94,True
2025-04-15,2025-07-14,2025-07-15,2025-08-14,14,5,80.0,0.07,True
2025-06-15,2025-09-14,2025-09-15,2025-10-14,12,18,27.78,-0.45,False
2025-08-15,2025-11-14,2025-11-15,2025-12-14,8,9,55.56,0.71,True
2025-11-15,2026-02-14,2026-02-15,2026-03-14,12,5,0.0,-1.97,False
2025-12-15,2026-03-14,2026-03-15,2026-04-14,8,11,27.27,-0.35,False
2026-01-15,2026-04-14,2026-04-15,2026-05-14,16,8,62.5,1.59,True
