train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-28,2024-03-27,2024-03-28,2024-04-27,6,8,50.0,3.49,True
2024-04-28,2024-07-27,2024-07-28,2024-08-27,1,5,80.0,2.26,True
2024-05-28,2024-08-27,2024-08-28,2024-09-27,6,9,77.78,0.68,True
2024-06-28,2024-09-27,2024-09-28,2024-10-27,14,5,0.0,-2.06,False
2024-09-28,2024-12-27,2024-12-28,2025-01-27,8,9,88.89,1.5,True
2024-11-28,2025-02-27,2025-02-28,2025-03-27,9,7,57.14,0.56,True
2025-03-28,2025-06-27,2025-06-28,2025-07-27,4,6,100.0,1.59,True
2025-04-28,2025-07-27,2025-07-28,2025-08-27,6,8,75.0,1.26,True
2025-06-28,2025-09-27,2025-09-28,2025-10-27,14,15,46.67,0.21,True
2025-08-28,2025-11-27,2025-11-28,2025-12-27,19,16,0.0,-1.18,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,31,5,80.0,0.91,True
2026-01-28,2026-04-27,2026-04-28,2026-05-27,7,7,28.57,-0.38,False
