train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-28,2024-04-27,2024-04-28,2024-05-27,15,6,83.33,1.14,True
2024-02-28,2024-05-27,2024-05-28,2024-06-27,19,6,66.67,7.56,True
2024-04-28,2024-07-27,2024-07-28,2024-08-27,12,5,100.0,2.79,True
2024-05-28,2024-08-27,2024-08-28,2024-09-27,11,8,37.5,-0.58,False
2024-06-28,2024-09-27,2024-09-28,2024-10-27,13,8,62.5,0.77,True
2024-07-28,2024-10-27,2024-10-28,2024-11-27,21,11,54.55,-0.02,False
2024-08-28,2024-11-27,2024-11-28,2024-12-27,27,11,63.64,0.63,True
2024-11-28,2025-02-27,2025-02-28,2025-03-27,15,6,33.33,-0.41,False
2024-12-28,2025-03-27,2025-03-28,2025-04-27,10,7,28.57,-0.49,False
2025-01-28,2025-04-27,2025-04-28,2025-05-27,6,15,60.0,0.66,True
2025-02-28,2025-05-27,2025-05-28,2025-06-27,8,11,45.45,0.25,True
2025-03-28,2025-06-27,2025-06-28,2025-07-27,13,9,77.78,1.26,True
2025-07-28,2025-10-27,2025-10-28,2025-11-27,10,12,83.33,3.95,True
2025-08-28,2025-11-27,2025-11-28,2025-12-27,18,7,28.57,-0.45,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,22,7,57.14,1.48,True
2025-10-28,2026-01-27,2026-01-28,2026-02-27,19,10,20.0,-1.95,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,3,11,90.91,3.07,True
2026-01-28,2026-04-27,2026-04-28,2026-05-27,14,8,62.5,0.72,True
