train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-04-05,2024-07-04,2024-07-05,2024-08-04,3,5,80.0,3.25,True
2024-06-05,2024-09-04,2024-09-05,2024-10-04,6,5,0.0,-2.67,False
2024-09-05,2024-12-04,2024-12-05,2025-01-04,5,11,72.73,1.0,True
2024-11-05,2025-02-04,2025-02-05,2025-03-04,11,9,33.33,0.42,True
2024-12-05,2025-03-04,2025-03-05,2025-04-04,11,14,57.14,0.57,True
2025-01-05,2025-04-04,2025-04-05,2025-05-04,24,9,66.67,2.02,True
2025-02-05,2025-05-04,2025-05-05,2025-06-04,32,7,100.0,1.89,True
2025-03-05,2025-06-04,2025-06-05,2025-07-04,9,6,100.0,2.17,True
2025-04-05,2025-07-04,2025-07-05,2025-08-04,13,6,100.0,2.51,True
2025-05-05,2025-08-04,2025-08-05,2025-09-04,15,9,33.33,0.39,True
