train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-12,2024-04-11,2024-04-12,2024-05-11,3,11,72.73,0.92,True
2024-03-12,2024-06-11,2024-06-12,2024-07-11,11,12,8.33,-1.03,False
2024-04-12,2024-07-11,2024-07-12,2024-08-11,13,10,10.0,-5.01,False
2025-01-12,2025-04-11,2025-04-12,2025-05-11,5,7,28.57,-0.2,False
2025-07-12,2025-10-11,2025-10-12,2025-11-11,3,7,57.14,0.75,True
2025-09-12,2025-12-11,2025-12-12,2026-01-11,3,10,40.0,0.34,True
2025-10-12,2026-01-11,2026-01-12,2026-02-11,5,5,80.0,1.27,True
2025-11-12,2026-02-11,2026-02-12,2026-03-11,3,6,0.0,-7.47,False
2026-01-12,2026-04-11,2026-04-12,2026-05-11,9,6,0.0,-2.96,False
2026-02-12,2026-05-11,2026-05-12,2026-06-11,11,9,22.22,-2.6,False
