train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-15,2024-06-14,2024-06-15,2024-07-14,3,7,85.71,2.85,True
2024-05-15,2024-08-14,2024-08-15,2024-09-14,5,8,12.5,-1.32,False
2024-06-15,2024-09-14,2024-09-15,2024-10-14,13,9,11.11,-2.02,False
2024-07-15,2024-10-14,2024-10-15,2024-11-14,21,6,66.67,2.25,True
2024-11-15,2025-02-14,2025-02-15,2025-03-14,9,11,9.09,-1.77,False
2024-12-15,2025-03-14,2025-03-15,2025-04-14,16,6,0.0,-9.89,False
2025-04-15,2025-07-14,2025-07-15,2025-08-14,1,12,41.67,-0.29,False
2025-06-15,2025-09-14,2025-09-15,2025-10-14,16,11,36.36,-0.91,False
2025-08-15,2025-11-14,2025-11-15,2025-12-14,19,5,60.0,0.66,True
2025-12-15,2026-03-14,2026-03-15,2026-04-14,8,9,55.56,1.39,True
2026-01-15,2026-04-14,2026-04-15,2026-05-14,6,7,14.29,-0.81,False
2026-02-15,2026-05-14,2026-05-15,2026-06-14,9,9,0.0,-1.15,False
