train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-29,2024-03-28,2024-03-29,2024-04-28,28,10,0.0,-1.85,False
2024-02-29,2024-05-28,2024-05-29,2024-06-28,14,7,57.14,2.11,True
2024-05-29,2024-08-28,2024-08-29,2024-09-28,4,6,100.0,4.65,True
2024-07-29,2024-10-28,2024-10-29,2024-11-28,14,14,50.0,0.08,True
2024-08-29,2024-11-28,2024-11-29,2024-12-28,24,5,40.0,5.34,True
2024-10-29,2025-01-28,2025-01-29,2025-02-27,19,5,60.0,-0.03,False
2024-11-29,2025-02-27,2025-02-28,2025-03-27,7,8,37.5,-1.03,False
2024-12-29,2025-03-28,2025-03-29,2025-04-28,11,5,0.0,-12.64,False
2025-01-29,2025-04-28,2025-04-29,2025-05-28,11,5,80.0,1.4,True
2025-02-28,2025-05-27,2025-05-28,2025-06-27,9,6,16.67,-0.69,False
2025-03-28,2025-06-27,2025-06-28,2025-07-27,7,7,0.0,-1.15,False
2025-04-28,2025-07-27,2025-07-28,2025-08-27,13,6,66.67,5.83,True
2025-05-28,2025-08-27,2025-08-28,2025-09-27,19,6,16.67,-1.19,False
2025-06-28,2025-09-27,2025-09-28,2025-10-27,19,5,40.0,0.72,True
2025-07-28,2025-10-27,2025-10-28,2025-11-27,17,12,16.67,-1.13,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,23,7,42.86,0.71,True
2025-09-28,2025-12-27,2025-12-28,2026-01-27,24,6,0.0,-2.2,False
2025-11-28,2026-02-27,2026-02-28,2026-03-27,9,8,37.5,-0.68,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,10,13,23.08,-0.3,False
2026-01-28,2026-04-27,2026-04-28,2026-05-27,22,8,12.5,-1.06,False
