train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-12,2024-04-11,2024-04-12,2024-05-11,28,6,50.0,1.44,True
2024-02-12,2024-05-11,2024-05-12,2024-06-11,30,6,50.0,1.15,True
2024-04-12,2024-07-11,2024-07-12,2024-08-11,16,9,33.33,-2.64,False
2024-05-12,2024-08-11,2024-08-12,2024-09-11,19,8,37.5,-0.03,False
2024-06-12,2024-09-11,2024-09-12,2024-10-11,21,5,100.0,3.56,True
2024-07-12,2024-10-11,2024-10-12,2024-11-11,22,15,20.0,-1.39,False
2024-08-12,2024-11-11,2024-11-12,2024-12-11,28,13,53.85,0.18,True
2024-09-12,2024-12-11,2024-12-12,2025-01-11,33,6,0.0,-0.94,False
2024-10-12,2025-01-11,2025-01-12,2025-02-11,34,8,87.5,1.51,True
2025-03-12,2025-06-11,2025-06-12,2025-07-11,8,9,55.56,3.7,True
2025-06-12,2025-09-11,2025-09-12,2025-10-11,12,13,69.23,1.89,True
2025-07-12,2025-10-11,2025-10-12,2025-11-11,16,5,20.0,-2.06,False
2025-09-12,2025-12-11,2025-12-12,2026-01-11,21,9,55.56,0.37,True
2025-10-12,2026-01-11,2026-01-12,2026-02-11,17,7,14.29,-0.47,False
2025-11-12,2026-02-11,2026-02-12,2026-03-11,19,6,50.0,0.29,True
2025-12-12,2026-03-11,2026-03-12,2026-04-11,22,10,60.0,1.27,True
2026-01-12,2026-04-11,2026-04-12,2026-05-11,23,7,0.0,-2.61,False
