train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-08,2024-04-07,2024-04-08,2024-05-07,30,10,40.0,-3.12,False
2024-02-08,2024-05-07,2024-05-08,2024-06-07,25,9,44.44,0.75,True
2024-03-08,2024-06-07,2024-06-08,2024-07-07,28,8,0.0,-5.05,False
2024-04-08,2024-07-07,2024-07-08,2024-08-07,27,9,11.11,-2.29,False
2024-05-08,2024-08-07,2024-08-08,2024-09-07,26,9,33.33,-2.47,False
2024-07-08,2024-10-07,2024-10-08,2024-11-07,21,8,0.0,-3.88,False
2024-11-08,2025-02-07,2025-02-08,2025-03-07,3,5,100.0,5.18,True
2024-12-08,2025-03-07,2025-03-08,2025-04-07,3,16,37.5,-4.07,False
2025-01-08,2025-04-07,2025-04-08,2025-05-07,25,12,83.33,2.13,True
2025-02-08,2025-05-07,2025-05-08,2025-06-07,33,6,100.0,3.69,True
2025-05-08,2025-08-07,2025-08-08,2025-09-07,3,5,80.0,8.94,True
2025-06-08,2025-09-07,2025-09-08,2025-10-07,3,15,53.33,-0.51,False
2025-07-08,2025-10-07,2025-10-08,2025-11-07,20,10,30.0,-3.41,False
2025-08-08,2025-11-07,2025-11-08,2025-12-07,30,10,20.0,-2.37,False
2025-09-08,2025-12-07,2025-12-08,2026-01-07,35,18,33.33,-1.78,False
2025-10-08,2026-01-07,2026-01-08,2026-02-07,38,13,15.38,-3.27,False
2025-11-08,2026-02-07,2026-02-08,2026-03-07,41,10,20.0,-4.06,False
2025-12-08,2026-03-07,2026-03-08,2026-04-07,41,7,71.43,3.3,True
2026-01-08,2026-04-07,2026-04-08,2026-05-07,30,10,40.0,-1.9,False
2026-02-08,2026-05-07,2026-05-08,2026-06-07,3,5,40.0,1.65,True
