train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-29,2024-05-28,2024-05-29,2024-06-28,7,7,0.0,-2.64,False
2024-05-29,2024-08-28,2024-08-29,2024-09-28,13,9,22.22,-0.16,False
2024-06-29,2024-09-28,2024-09-29,2024-10-28,15,9,22.22,-1.84,False
2024-08-29,2024-11-28,2024-11-29,2024-12-28,22,7,85.71,2.86,True
2024-09-29,2024-12-28,2024-12-29,2025-01-28,20,9,66.67,0.23,True
2024-11-29,2025-02-27,2025-02-28,2025-03-27,20,8,37.5,-0.66,False
2025-02-28,2025-05-27,2025-05-28,2025-06-27,3,6,0.0,-1.12,False
2025-03-28,2025-06-27,2025-06-28,2025-07-27,7,6,100.0,3.29,True
2025-05-28,2025-08-27,2025-08-28,2025-09-27,16,14,21.43,-1.12,False
2025-06-28,2025-09-27,2025-09-28,2025-10-27,24,6,0.0,-0.92,False
2025-07-28,2025-10-27,2025-10-28,2025-11-27,24,12,33.33,-0.03,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,32,10,30.0,-0.02,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,28,10,60.0,1.59,True
2025-10-28,2026-01-27,2026-01-28,2026-02-27,24,6,16.67,-1.21,False
2025-11-28,2026-02-27,2026-02-28,2026-03-27,18,6,0.0,-5.15,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,14,5,80.0,0.84,True
