train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-11,2024-04-10,2024-04-11,2024-05-10,19,5,40.0,-1.17,False
2024-04-11,2024-07-10,2024-07-11,2024-08-10,11,10,40.0,-2.23,False
2024-07-11,2024-10-10,2024-10-11,2024-11-10,17,5,0.0,-8.02,False
2024-09-11,2024-12-10,2024-12-11,2025-01-10,7,7,57.14,0.95,True
2024-10-11,2025-01-10,2025-01-11,2025-02-10,13,7,14.29,-3.02,False
2024-11-11,2025-02-10,2025-02-11,2025-03-10,18,11,81.82,3.07,True
2024-12-11,2025-03-10,2025-03-11,2025-04-10,15,9,44.44,-1.18,False
2025-03-11,2025-06-10,2025-06-11,2025-07-10,15,6,66.67,1.52,True
2025-04-11,2025-07-10,2025-07-11,2025-08-10,12,6,50.0,2.11,True
2025-06-11,2025-09-10,2025-09-11,2025-10-10,14,6,33.33,-0.22,False
2025-07-11,2025-10-10,2025-10-11,2025-11-10,8,6,33.33,0.99,True
2025-09-11,2025-12-10,2025-12-11,2026-01-10,9,5,20.0,-0.94,False
2025-11-11,2026-02-10,2026-02-11,2026-03-10,9,7,28.57,-1.07,False
2026-01-11,2026-04-10,2026-04-11,2026-05-10,15,6,83.33,1.88,True
