train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-18,2024-04-17,2024-04-18,2024-05-17,6,5,0.0,-0.5,False
2024-02-18,2024-05-17,2024-05-18,2024-06-17,8,5,20.0,0.32,True
2024-05-18,2024-08-17,2024-08-18,2024-09-17,6,5,0.0,-5.22,False
2024-06-18,2024-09-17,2024-09-18,2024-10-17,10,8,37.5,-1.9,False
2024-07-18,2024-10-17,2024-10-18,2024-11-17,9,7,57.14,0.07,True
2024-08-18,2024-11-17,2024-11-18,2024-12-17,12,6,50.0,0.24,True
2024-09-18,2024-12-17,2024-12-18,2025-01-17,13,7,57.14,2.06,True
2024-11-18,2025-02-17,2025-02-18,2025-03-17,13,10,60.0,0.59,True
2024-12-18,2025-03-17,2025-03-18,2025-04-17,17,8,0.0,-2.93,False
2025-02-18,2025-05-17,2025-05-18,2025-06-17,14,6,0.0,-1.16,False
2025-03-18,2025-06-17,2025-06-18,2025-07-17,10,6,100.0,2.9,True
2025-04-18,2025-07-17,2025-07-18,2025-08-17,10,7,100.0,2.01,True
2025-05-18,2025-08-17,2025-08-18,2025-09-17,14,12,25.0,-2.78,False
2025-08-18,2025-11-17,2025-11-18,2025-12-17,4,14,50.0,0.29,True
2025-09-18,2025-12-17,2025-12-18,2026-01-17,16,7,28.57,-0.7,False
2025-10-18,2026-01-17,2026-01-18,2026-02-17,21,8,12.5,-1.92,False
2025-12-18,2026-03-17,2026-03-18,2026-04-17,17,10,30.0,-0.31,False
