train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-18,2024-04-17,2024-04-18,2024-05-17,5,6,50.0,0.4,True
2024-02-18,2024-05-17,2024-05-18,2024-06-17,9,12,66.67,0.96,True
2024-03-18,2024-06-17,2024-06-18,2024-07-17,21,9,55.56,-0.34,False
2024-06-18,2024-09-17,2024-09-18,2024-10-17,16,5,40.0,0.96,True
2024-07-18,2024-10-17,2024-10-18,2024-11-17,12,10,0.0,-2.07,False
2024-09-18,2024-12-17,2024-12-18,2025-01-17,19,9,11.11,-3.87,False
2024-12-18,2025-03-17,2025-03-18,2025-04-17,14,6,0.0,-11.54,False
2025-01-18,2025-04-17,2025-04-18,2025-05-17,7,8,100.0,1.8,True
2025-02-18,2025-05-17,2025-05-18,2025-06-17,6,6,83.33,1.64,True
2025-06-18,2025-09-17,2025-09-18,2025-10-17,5,11,45.45,0.92,True
2025-07-18,2025-10-17,2025-10-18,2025-11-17,12,5,0.0,-6.55,False
2025-08-18,2025-11-17,2025-11-18,2025-12-17,16,8,25.0,-1.54,False
2026-01-18,2026-04-17,2026-04-18,2026-05-17,3,7,0.0,-1.5,False
2026-02-18,2026-05-17,2026-05-18,2026-06-17,7,8,25.0,-1.16,False
