train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-04-08,2024-07-07,2024-07-08,2024-08-07,6,6,33.33,-1.87,False
2024-05-08,2024-08-07,2024-08-08,2024-09-07,6,6,66.67,0.75,True
2024-06-08,2024-09-07,2024-09-08,2024-10-07,9,10,100.0,5.31,True
2024-07-08,2024-10-07,2024-10-08,2024-11-07,6,7,28.57,-2.0,False
2024-10-08,2025-01-07,2025-01-08,2025-02-07,14,9,77.78,0.82,True
2024-11-08,2025-02-07,2025-02-08,2025-03-07,9,8,75.0,1.42,True
2024-12-08,2025-03-07,2025-03-08,2025-04-07,6,11,27.27,-3.23,False
2025-01-08,2025-04-07,2025-04-08,2025-05-07,28,14,64.29,1.47,True
2025-02-08,2025-05-07,2025-05-08,2025-06-07,33,9,66.67,-0.15,False
2025-03-08,2025-06-07,2025-06-08,2025-07-07,9,6,100.0,5.02,True
2025-04-08,2025-07-07,2025-07-08,2025-08-07,15,7,71.43,3.08,True
2025-05-08,2025-08-07,2025-08-08,2025-09-07,22,10,50.0,0.2,True
2025-06-08,2025-09-07,2025-09-08,2025-10-07,23,14,78.57,2.25,True
2025-07-08,2025-10-07,2025-10-08,2025-11-07,31,5,20.0,-5.99,False
2025-08-08,2025-11-07,2025-11-08,2025-12-07,29,7,28.57,-2.36,False
2025-10-08,2026-01-07,2026-01-08,2026-02-07,6,13,84.62,4.89,True
2025-11-08,2026-02-07,2026-02-08,2026-03-07,24,12,50.0,0.59,True
2025-12-08,2026-03-07,2026-03-08,2026-04-07,14,6,16.67,-4.61,False
2026-01-08,2026-04-07,2026-04-08,2026-05-07,19,11,81.82,3.0,True
2026-02-08,2026-05-07,2026-05-08,2026-06-07,29,5,0.0,-3.48,False
