train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-08,2024-04-07,2024-04-08,2024-05-07,16,6,16.67,-6.47,False
2024-02-08,2024-05-07,2024-05-08,2024-06-07,6,7,100.0,4.7,True
2024-03-08,2024-06-07,2024-06-08,2024-07-07,13,5,80.0,4.88,True
2024-05-08,2024-08-07,2024-08-08,2024-09-07,12,7,0.0,-1.09,False
2024-06-08,2024-09-07,2024-09-08,2024-10-07,5,7,100.0,4.43,True
2024-07-08,2024-10-07,2024-10-08,2024-11-07,15,6,33.33,0.22,True
2024-08-08,2024-11-07,2024-11-08,2024-12-07,8,6,50.0,0.39,True
2024-09-08,2024-12-07,2024-12-08,2025-01-07,14,11,36.36,-2.19,False
2024-12-08,2025-03-07,2025-03-08,2025-04-07,3,5,0.0,-2.86,False
2025-01-08,2025-04-07,2025-04-08,2025-05-07,8,7,85.71,4.91,True
2025-03-08,2025-06-07,2025-06-08,2025-07-07,5,13,69.23,1.24,True
2025-05-08,2025-08-07,2025-08-08,2025-09-07,5,8,62.5,2.23,True
2025-07-08,2025-10-07,2025-10-08,2025-11-07,14,8,75.0,0.55,True
2025-08-08,2025-11-07,2025-11-08,2025-12-07,19,5,40.0,-0.35,False
2025-09-08,2025-12-07,2025-12-08,2026-01-07,16,12,8.33,-3.09,False
2025-12-08,2026-03-07,2026-03-08,2026-04-07,7,12,0.0,-2.42,False
2026-01-08,2026-04-07,2026-04-08,2026-05-07,19,5,40.0,-0.39,False
