train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-15,2024-05-14,2024-05-15,2024-06-14,6,9,88.89,2.02,True
2024-04-15,2024-07-14,2024-07-15,2024-08-14,16,7,0.0,-5.61,False
2024-05-15,2024-08-14,2024-08-15,2024-09-14,19,5,100.0,3.36,True
2024-06-15,2024-09-14,2024-09-15,2024-10-14,15,6,100.0,3.66,True
2024-08-15,2024-11-14,2024-11-15,2024-12-14,15,6,100.0,1.63,True
2024-09-15,2024-12-14,2024-12-15,2025-01-14,16,12,41.67,-0.19,False
2024-11-15,2025-02-14,2025-02-15,2025-03-14,22,5,100.0,3.82,True
2024-12-15,2025-03-14,2025-03-15,2025-04-14,21,6,16.67,-5.59,False
2025-01-15,2025-04-14,2025-04-15,2025-05-14,15,7,100.0,7.69,True
2025-02-15,2025-05-14,2025-05-15,2025-06-14,11,9,44.44,1.93,True
2025-03-15,2025-06-14,2025-06-15,2025-07-14,8,6,100.0,2.64,True
2025-04-15,2025-07-14,2025-07-15,2025-08-14,22,7,28.57,-0.74,False
2025-05-15,2025-08-14,2025-08-15,2025-09-14,9,5,40.0,-0.1,False
2025-06-15,2025-09-14,2025-09-15,2025-10-14,12,13,84.62,1.92,True
2025-07-15,2025-10-14,2025-10-15,2025-11-14,25,5,0.0,-4.52,False
2025-08-15,2025-11-14,2025-11-15,2025-12-14,19,6,50.0,0.05,True
2025-09-15,2025-12-14,2025-12-15,2026-01-14,20,13,61.54,1.9,True
2025-10-15,2026-01-14,2026-01-15,2026-02-14,7,5,20.0,-1.81,False
2025-11-15,2026-02-14,2026-02-15,2026-03-14,11,5,0.0,-9.29,False
2026-01-15,2026-04-14,2026-04-15,2026-05-14,14,10,70.0,2.01,True
