train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-07,2024-05-06,2024-05-07,2024-06-06,9,7,85.71,2.69,True
2024-03-07,2024-06-06,2024-06-07,2024-07-06,3,13,69.23,2.62,True
2024-04-07,2024-07-06,2024-07-07,2024-08-06,15,10,40.0,-3.4,False
2024-05-07,2024-08-06,2024-08-07,2024-09-06,15,9,55.56,1.81,True
2024-06-07,2024-09-06,2024-09-07,2024-10-06,15,5,60.0,-1.23,False
2024-07-07,2024-10-06,2024-10-07,2024-11-06,7,6,0.0,-5.78,False
2024-08-07,2024-11-06,2024-11-07,2024-12-06,11,15,53.33,-0.41,False
2024-09-07,2024-12-06,2024-12-07,2025-01-06,12,12,25.0,-2.7,False
2024-12-07,2025-03-06,2025-03-07,2025-04-06,12,6,66.67,0.71,True
2025-01-07,2025-04-06,2025-04-07,2025-05-06,6,11,63.64,1.79,True
2025-03-07,2025-06-06,2025-06-07,2025-07-06,6,8,100.0,7.42,True
2025-06-07,2025-09-06,2025-09-07,2025-10-06,14,5,80.0,5.33,True
2025-07-07,2025-10-06,2025-10-07,2025-11-06,11,9,22.22,-0.66,False
2025-10-07,2026-01-06,2026-01-07,2026-02-06,7,8,37.5,1.55,True
2025-12-07,2026-03-06,2026-03-07,2026-04-06,7,7,85.71,7.75,True
2026-01-07,2026-04-06,2026-04-07,2026-05-06,3,12,33.33,0.18,True
2026-02-07,2026-05-06,2026-05-07,2026-06-06,3,6,0.0,-5.07,False
2026-03-07,2026-06-06,2026-06-07,2026-07-06,6,7,28.57,-2.49,False
