train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-05,2024-05-04,2024-05-05,2024-06-04,10,8,75.0,0.95,True
2024-03-05,2024-06-04,2024-06-05,2024-07-04,14,6,0.0,-2.15,False
2024-05-05,2024-08-04,2024-08-05,2024-09-04,14,7,42.86,-0.01,False
2024-08-05,2024-11-04,2024-11-05,2024-12-04,13,5,0.0,-0.4,False
2024-09-05,2024-12-04,2024-12-05,2025-01-04,8,5,20.0,-0.24,False
2024-11-05,2025-02-04,2025-02-05,2025-03-04,10,14,64.29,2.09,True
2024-12-05,2025-03-04,2025-03-05,2025-04-04,9,7,42.86,-1.15,False
2025-02-05,2025-05-04,2025-05-05,2025-06-04,21,8,37.5,0.15,True
2025-03-05,2025-06-04,2025-06-05,2025-07-04,8,7,71.43,1.67,True
2025-04-05,2025-07-04,2025-07-05,2025-08-04,15,14,35.71,-0.17,False
2025-05-05,2025-08-04,2025-08-05,2025-09-04,29,9,33.33,-0.75,False
2025-08-05,2025-11-04,2025-11-05,2025-12-04,10,5,40.0,-0.35,False
2025-10-05,2026-01-04,2026-01-05,2026-02-04,9,7,42.86,-0.24,False
2026-02-05,2026-05-04,2026-05-05,2026-06-04,5,8,37.5,-0.74,False
