train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-02,2024-06-01,2024-06-02,2024-07-01,9,15,53.33,0.06,True
2024-04-02,2024-07-01,2024-07-02,2024-08-01,6,16,25.0,-2.32,False
2024-05-02,2024-08-01,2024-08-02,2024-09-01,35,12,66.67,3.18,True
2024-06-02,2024-09-01,2024-09-02,2024-10-01,43,5,0.0,-4.39,False
2024-08-02,2024-11-01,2024-11-02,2024-12-01,4,14,64.29,-0.08,False
2024-09-02,2024-12-01,2024-12-02,2025-01-01,3,13,53.85,0.42,True
2024-11-02,2025-02-01,2025-02-02,2025-03-01,14,9,22.22,-2.68,False
2025-02-02,2025-05-01,2025-05-02,2025-06-01,11,8,87.5,8.17,True
2025-03-02,2025-06-01,2025-06-02,2025-07-01,10,15,66.67,2.44,True
2025-04-02,2025-07-01,2025-07-02,2025-08-01,23,5,40.0,-1.17,False
2025-05-02,2025-08-01,2025-08-02,2025-09-01,6,7,14.29,-3.42,False
2025-06-02,2025-09-01,2025-09-02,2025-10-01,13,14,7.14,-1.81,False
2025-07-02,2025-10-01,2025-10-02,2025-11-01,13,5,40.0,-0.2,False
2025-08-02,2025-11-01,2025-11-02,2025-12-01,8,9,22.22,0.41,True
2025-11-02,2026-02-01,2026-02-02,2026-03-01,12,14,71.43,5.46,True
2025-12-02,2026-03-01,2026-03-02,2026-04-01,3,13,15.38,-6.96,False
