train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-15,2024-05-14,2024-05-15,2024-06-14,19,9,77.78,0.58,True
2024-04-15,2024-07-14,2024-07-15,2024-08-14,16,11,36.36,-1.24,False
2024-05-15,2024-08-14,2024-08-15,2024-09-14,24,10,60.0,0.86,True
2024-07-15,2024-10-14,2024-10-15,2024-11-14,25,9,11.11,-2.07,False
2024-08-15,2024-11-14,2024-11-15,2024-12-14,14,8,37.5,-0.15,False
2024-09-15,2024-12-14,2024-12-15,2025-01-14,12,9,22.22,-1.66,False
2024-10-15,2025-01-14,2025-01-15,2025-02-14,17,5,100.0,1.95,True
2025-01-15,2025-04-14,2025-04-15,2025-05-14,6,5,80.0,2.47,True
2025-02-15,2025-05-14,2025-05-15,2025-06-14,8,6,33.33,-0.73,False
2025-03-15,2025-06-14,2025-06-15,2025-07-14,6,9,55.56,0.68,True
2025-05-15,2025-08-14,2025-08-15,2025-09-14,15,6,16.67,-5.67,False
2025-06-15,2025-09-14,2025-09-15,2025-10-14,9,5,20.0,-2.19,False
2025-08-15,2025-11-14,2025-11-15,2025-12-14,8,13,46.15,-1.14,False
2025-09-15,2025-12-14,2025-12-15,2026-01-14,21,11,63.64,1.61,True
2025-10-15,2026-01-14,2026-01-15,2026-02-14,27,11,27.27,0.87,True
2025-12-15,2026-03-14,2026-03-15,2026-04-14,25,6,50.0,0.59,True
2026-01-15,2026-04-14,2026-04-15,2026-05-14,20,10,20.0,-0.77,False
