train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-05-01,2024-05-02,2024-06-01,16,8,12.5,-1.35,False
2024-03-02,2024-06-01,2024-06-02,2024-07-01,14,7,14.29,-1.18,False
2024-04-02,2024-07-01,2024-07-02,2024-08-01,19,9,55.56,0.77,True
2024-05-02,2024-08-01,2024-08-02,2024-09-01,24,8,100.0,2.1,True
2024-06-02,2024-09-01,2024-09-02,2024-10-01,24,7,100.0,1.39,True
2024-07-02,2024-10-01,2024-10-02,2024-11-01,24,10,70.0,0.68,True
2024-08-02,2024-11-01,2024-11-02,2024-12-01,25,8,62.5,0.54,True
2024-09-02,2024-12-01,2024-12-02,2025-01-01,25,5,0.0,-0.61,False
2024-10-02,2025-01-01,2025-01-02,2025-02-01,23,13,46.15,0.09,True
2024-11-02,2025-02-01,2025-02-02,2025-03-01,26,10,90.0,0.89,True
2025-01-02,2025-04-01,2025-04-02,2025-05-01,25,13,7.69,-2.47,False
2025-02-02,2025-05-01,2025-05-02,2025-06-01,13,11,0.0,-0.57,False
2025-03-02,2025-06-01,2025-06-02,2025-07-01,14,6,33.33,0.41,True
2025-05-02,2025-08-01,2025-08-02,2025-09-01,19,6,100.0,2.45,True
2025-07-02,2025-10-01,2025-10-02,2025-11-01,11,9,33.33,-1.31,False
2025-08-02,2025-11-01,2025-11-02,2025-12-01,18,13,23.08,-1.03,False
2025-09-02,2025-12-01,2025-12-02,2026-01-01,25,12,58.33,2.32,True
2025-11-02,2026-02-01,2026-02-02,2026-03-01,25,8,0.0,-6.77,False
2025-12-02,2026-03-01,2026-03-02,2026-04-01,12,16,37.5,-0.96,False
