train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-07,2024-05-06,2024-05-07,2024-06-06,16,9,66.67,1.54,True
2024-03-07,2024-06-06,2024-06-07,2024-07-06,18,6,0.0,-3.67,False
2024-04-07,2024-07-06,2024-07-07,2024-08-06,16,10,0.0,-3.03,False
2024-05-07,2024-08-06,2024-08-07,2024-09-06,25,15,40.0,0.38,True
2024-06-07,2024-09-06,2024-09-07,2024-10-06,16,11,54.55,-0.61,False
2024-07-07,2024-10-06,2024-10-07,2024-11-06,21,6,16.67,-1.38,False
2024-08-07,2024-11-06,2024-11-07,2024-12-06,17,7,57.14,0.25,True
2024-09-07,2024-12-06,2024-12-07,2025-01-06,24,13,38.46,-0.31,False
2024-12-07,2025-03-06,2025-03-07,2025-04-06,19,9,44.44,-3.46,False
2025-01-07,2025-04-06,2025-04-07,2025-05-06,15,12,33.33,-0.72,False
2025-02-07,2025-05-06,2025-05-07,2025-06-06,12,5,80.0,3.47,True
2025-06-07,2025-09-06,2025-09-07,2025-10-06,8,13,84.62,1.82,True
2025-08-07,2025-11-06,2025-11-07,2025-12-06,7,7,42.86,-0.32,False
2025-09-07,2025-12-06,2025-12-07,2026-01-06,11,9,0.0,-3.3,False
2025-10-07,2026-01-06,2026-01-07,2026-02-06,19,6,0.0,-11.17,False
2025-12-07,2026-03-06,2026-03-07,2026-04-06,17,9,66.67,5.06,True
2026-01-07,2026-04-06,2026-04-07,2026-05-06,9,7,57.14,0.28,True
2026-02-07,2026-05-06,2026-05-07,2026-06-06,10,7,0.0,-3.23,False
2026-03-07,2026-06-06,2026-06-07,2026-07-06,15,5,20.0,-0.19,False
