train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-15,2024-04-14,2024-04-15,2024-05-14,8,14,64.29,0.71,True
2024-03-15,2024-06-14,2024-06-15,2024-07-14,11,11,72.73,1.43,True
2024-04-15,2024-07-14,2024-07-15,2024-08-14,17,9,33.33,-1.41,False
2024-06-15,2024-09-14,2024-09-15,2024-10-14,23,5,100.0,4.95,True
2024-07-15,2024-10-14,2024-10-15,2024-11-14,17,14,28.57,-2.41,False
2024-08-15,2024-11-14,2024-11-15,2024-12-14,22,13,69.23,2.2,True
2024-09-15,2024-12-14,2024-12-15,2025-01-14,32,8,25.0,-2.53,False
2024-10-15,2025-01-14,2025-01-15,2025-02-14,35,5,100.0,6.49,True
2025-01-15,2025-04-14,2025-04-15,2025-05-14,9,12,66.67,0.73,True
2025-02-15,2025-05-14,2025-05-15,2025-06-14,4,11,36.36,-0.87,False
2025-03-15,2025-06-14,2025-06-15,2025-07-14,15,7,42.86,0.32,True
2025-05-15,2025-08-14,2025-08-15,2025-09-14,18,6,50.0,3.29,True
2025-06-15,2025-09-14,2025-09-15,2025-10-14,13,7,71.43,0.84,True
2025-07-15,2025-10-14,2025-10-15,2025-11-14,13,11,18.18,-4.86,False
2025-08-15,2025-11-14,2025-11-15,2025-12-14,15,16,37.5,-1.26,False
2025-09-15,2025-12-14,2025-12-15,2026-01-14,25,5,80.0,2.24,True
2025-10-15,2026-01-14,2026-01-15,2026-02-14,18,8,100.0,4.89,True
2025-12-15,2026-03-14,2026-03-15,2026-04-14,17,9,77.78,1.05,True
2026-01-15,2026-04-14,2026-04-15,2026-05-14,4,9,22.22,-1.89,False
2026-02-15,2026-05-14,2026-05-15,2026-06-14,11,9,22.22,-1.44,False
