train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-22,2024-03-21,2024-03-22,2024-04-21,6,7,14.29,-3.24,False
2024-01-22,2024-04-21,2024-04-22,2024-05-21,12,10,50.0,0.48,True
2024-02-22,2024-05-21,2024-05-22,2024-06-21,9,8,50.0,0.1,True
2024-03-22,2024-06-21,2024-06-22,2024-07-21,17,6,50.0,-0.16,False
2024-04-22,2024-07-21,2024-07-22,2024-08-21,16,10,40.0,-0.5,False
2024-05-22,2024-08-21,2024-08-22,2024-09-21,24,6,33.33,0.17,True
2024-06-22,2024-09-21,2024-09-22,2024-10-21,22,14,71.43,1.07,True
2024-07-22,2024-10-21,2024-10-22,2024-11-21,30,13,61.54,1.26,True
2024-08-22,2024-11-21,2024-11-22,2024-12-21,33,7,100.0,2.61,True
2024-09-22,2024-12-21,2024-12-22,2025-01-21,34,10,0.0,-3.44,False
2024-10-22,2025-01-21,2025-01-22,2025-02-21,22,6,100.0,1.84,True
2024-11-22,2025-02-21,2025-02-22,2025-03-21,15,6,50.0,-0.99,False
2025-03-22,2025-06-21,2025-06-22,2025-07-21,4,8,75.0,2.4,True
2025-04-22,2025-07-21,2025-07-22,2025-08-21,12,12,41.67,-0.29,False
2025-05-22,2025-08-21,2025-08-22,2025-09-21,24,7,100.0,5.69,True
2025-06-22,2025-09-21,2025-09-22,2025-10-21,27,10,30.0,-2.55,False
2025-08-22,2025-11-21,2025-11-22,2025-12-21,12,8,0.0,-2.46,False
2025-11-22,2026-02-21,2026-02-22,2026-03-21,11,13,23.08,-3.12,False
2025-12-22,2026-03-21,2026-03-22,2026-04-21,3,6,66.67,1.42,True
