train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-04-07,2024-07-06,2024-07-07,2024-08-06,11,12,16.67,-1.18,False
2024-05-07,2024-08-06,2024-08-07,2024-09-06,19,9,88.89,3.59,True
2024-06-07,2024-09-06,2024-09-07,2024-10-06,25,12,25.0,-1.4,False
2024-07-07,2024-10-06,2024-10-07,2024-11-06,33,10,40.0,-0.07,False
2024-08-07,2024-11-06,2024-11-07,2024-12-06,31,14,42.86,-1.4,False
2024-09-07,2024-12-06,2024-12-07,2025-01-06,36,8,12.5,-0.76,False
2025-02-07,2025-05-06,2025-05-07,2025-06-06,4,8,50.0,5.49,True
2025-04-07,2025-07-06,2025-07-07,2025-08-06,8,6,66.67,1.88,True
2025-05-07,2025-08-06,2025-08-07,2025-09-06,10,12,83.33,4.14,True
2025-06-07,2025-09-06,2025-09-07,2025-10-06,9,11,45.45,0.73,True
2025-07-07,2025-10-06,2025-10-07,2025-11-06,6,5,40.0,2.87,True
2025-09-07,2025-12-06,2025-12-07,2026-01-06,3,9,77.78,7.57,True
2025-12-07,2026-03-06,2026-03-07,2026-04-06,14,7,85.71,6.17,True
