train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-28,2024-04-27,2024-04-28,2024-05-27,8,6,83.33,1.02,True
2024-03-28,2024-06-27,2024-06-28,2024-07-27,11,7,57.14,0.12,True
2024-04-28,2024-07-27,2024-07-28,2024-08-27,14,8,50.0,0.49,True
2024-07-28,2024-10-27,2024-10-28,2024-11-27,15,11,27.27,-0.01,False
2024-11-28,2025-02-27,2025-02-28,2025-03-27,7,5,20.0,-1.22,False
2024-12-28,2025-03-27,2025-03-28,2025-04-27,6,15,20.0,-3.0,False
2025-02-28,2025-05-27,2025-05-28,2025-06-27,7,10,50.0,0.44,True
2025-05-28,2025-08-27,2025-08-28,2025-09-27,10,7,0.0,-3.49,False
2025-06-28,2025-09-27,2025-09-28,2025-10-27,7,8,62.5,-0.25,False
2025-07-28,2025-10-27,2025-10-28,2025-11-27,8,14,21.43,-0.58,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,22,16,37.5,-0.62,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,38,5,100.0,1.18,True
2025-10-28,2026-01-27,2026-01-28,2026-02-27,35,7,28.57,-1.81,False
2025-11-28,2026-02-27,2026-02-28,2026-03-27,28,5,60.0,0.9,True
2026-01-28,2026-04-27,2026-04-28,2026-05-27,14,6,50.0,-0.26,False
