train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-29,2024-03-28,2024-03-29,2024-04-28,18,7,42.86,-1.72,False
2024-01-29,2024-04-28,2024-04-29,2024-05-28,22,5,20.0,-2.34,False
2024-04-29,2024-07-28,2024-07-29,2024-08-28,6,9,22.22,-1.3,False
2024-05-29,2024-08-28,2024-08-29,2024-09-28,10,7,0.0,-2.69,False
2024-11-29,2025-02-27,2025-02-28,2025-03-27,9,5,100.0,14.08,True
2024-12-29,2025-03-28,2025-03-29,2025-04-28,10,13,69.23,5.65,True
2025-01-29,2025-04-28,2025-04-29,2025-05-28,22,7,100.0,10.3,True
2025-03-28,2025-06-27,2025-06-28,2025-07-27,21,18,50.0,5.09,True
2025-04-28,2025-07-27,2025-07-28,2025-08-27,27,8,50.0,0.83,True
2025-05-28,2025-08-27,2025-08-28,2025-09-27,27,17,94.12,8.11,True
2025-06-28,2025-09-27,2025-09-28,2025-10-27,43,12,75.0,4.84,True
2025-08-28,2025-11-27,2025-11-28,2025-12-27,33,12,66.67,5.57,True
2025-09-28,2025-12-27,2025-12-28,2026-01-27,28,8,25.0,-3.8,False
2025-11-28,2026-02-27,2026-02-28,2026-03-27,24,5,0.0,-9.5,False
