train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-05,2024-04-04,2024-04-05,2024-05-04,10,10,80.0,1.58,True
2024-07-05,2024-10-04,2024-10-05,2024-11-04,6,7,85.71,2.04,True
2024-10-05,2025-01-04,2025-01-05,2025-02-04,8,8,75.0,1.93,True
2024-12-05,2025-03-04,2025-03-05,2025-04-04,8,5,0.0,-9.4,False
2025-05-05,2025-08-04,2025-08-05,2025-09-04,3,6,83.33,3.31,True
2025-07-05,2025-10-04,2025-10-05,2025-11-04,7,16,12.5,-1.2,False
2025-08-05,2025-11-04,2025-11-05,2025-12-04,23,13,23.08,-1.03,False
2025-09-05,2025-12-04,2025-12-05,2026-01-04,30,17,52.94,-0.25,False
2025-11-05,2026-02-04,2026-02-05,2026-03-04,33,5,80.0,1.49,True
2026-01-05,2026-04-04,2026-04-05,2026-05-04,8,6,33.33,0.22,True
2026-02-05,2026-05-04,2026-05-05,2026-06-04,11,9,22.22,-0.29,False
