train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-28,2024-04-27,2024-04-28,2024-05-27,13,7,71.43,1.36,True
2024-02-28,2024-05-27,2024-05-28,2024-06-27,15,10,50.0,-2.11,False
2024-04-28,2024-07-27,2024-07-28,2024-08-27,18,5,40.0,-0.15,False
2024-06-28,2024-09-27,2024-09-28,2024-10-27,8,10,10.0,-2.75,False
2024-08-28,2024-11-27,2024-11-28,2024-12-27,3,14,35.71,-0.52,False
2024-10-28,2025-01-27,2025-01-28,2025-02-27,15,11,72.73,5.45,True
2024-11-28,2025-02-27,2025-02-28,2025-03-27,26,10,70.0,1.01,True
2025-01-28,2025-04-27,2025-04-28,2025-05-27,14,7,100.0,2.96,True
2025-04-28,2025-07-27,2025-07-28,2025-08-27,11,7,85.71,12.89,True
2025-06-28,2025-09-27,2025-09-28,2025-10-27,4,7,42.86,-7.19,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,7,11,18.18,-3.75,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,3,8,12.5,-3.76,False
