train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-27,2024-03-26,2024-03-27,2024-04-26,28,6,0.0,-3.63,False
2024-01-27,2024-04-26,2024-04-27,2024-05-26,20,11,63.64,0.36,True
2024-02-27,2024-05-26,2024-05-27,2024-06-26,15,11,36.36,-2.02,False
2024-03-27,2024-06-26,2024-06-27,2024-07-26,18,8,12.5,-1.82,False
2024-05-27,2024-08-26,2024-08-27,2024-09-26,22,6,100.0,2.38,True
2024-06-27,2024-09-26,2024-09-27,2024-10-26,17,9,22.22,-1.04,False
2024-07-27,2024-10-26,2024-10-27,2024-11-26,18,11,9.09,-2.77,False
2024-09-27,2024-12-26,2024-12-27,2025-01-26,24,7,57.14,2.61,True
2024-10-27,2025-01-26,2025-01-27,2025-02-26,17,5,100.0,4.64,True
2024-12-27,2025-03-26,2025-03-27,2025-04-26,3,14,14.29,-1.95,False
2025-02-27,2025-05-26,2025-05-27,2025-06-26,4,9,77.78,3.18,True
2025-05-27,2025-08-26,2025-08-27,2025-09-26,11,9,22.22,-2.11,False
2025-06-27,2025-09-26,2025-09-27,2025-10-26,11,7,28.57,-4.28,False
2025-07-27,2025-10-26,2025-10-27,2025-11-26,18,5,20.0,-3.69,False
2025-08-27,2025-11-26,2025-11-27,2025-12-26,7,10,70.0,1.33,True
2025-09-27,2025-12-26,2025-12-27,2026-01-26,17,14,14.29,-3.04,False
2025-10-27,2026-01-26,2026-01-27,2026-02-26,16,10,40.0,-0.38,False
2025-11-27,2026-02-26,2026-02-27,2026-03-26,13,5,0.0,-7.99,False
2025-12-27,2026-03-26,2026-03-27,2026-04-26,5,6,66.67,2.68,True
2026-01-27,2026-04-26,2026-04-27,2026-05-26,4,5,40.0,0.27,True
