train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-22,2024-04-21,2024-04-22,2024-05-21,23,6,100.0,2.67,True
2024-06-22,2024-09-21,2024-09-22,2024-10-21,7,16,31.25,-0.68,False
2024-07-22,2024-10-21,2024-10-22,2024-11-21,19,14,7.14,-1.27,False
2024-08-22,2024-11-21,2024-11-22,2024-12-21,31,7,42.86,-0.21,False
2024-09-22,2024-12-21,2024-12-22,2025-01-21,37,7,28.57,-0.9,False
2024-10-22,2025-01-21,2025-01-22,2025-02-21,28,8,62.5,1.09,True
2024-12-22,2025-03-21,2025-03-22,2025-04-21,17,8,0.0,-5.82,False
2025-02-22,2025-05-21,2025-05-22,2025-06-21,10,5,80.0,0.8,True
2025-06-22,2025-09-21,2025-09-22,2025-10-21,6,6,100.0,2.63,True
2025-09-22,2025-12-21,2025-12-22,2026-01-21,7,8,37.5,3.95,True
2025-11-22,2026-02-21,2026-02-22,2026-03-21,3,9,11.11,-3.96,False
2026-01-22,2026-04-21,2026-04-22,2026-05-21,5,11,0.0,-1.12,False
2026-02-22,2026-05-21,2026-05-22,2026-06-21,16,7,14.29,-0.46,False
