train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-22,2024-03-21,2024-03-22,2024-04-21,12,8,37.5,-5.62,False
2024-01-22,2024-04-21,2024-04-22,2024-05-21,19,5,100.0,20.75,True
2024-06-22,2024-09-21,2024-09-22,2024-10-21,4,12,25.0,-3.09,False
2024-07-22,2024-10-21,2024-10-22,2024-11-21,16,6,66.67,7.47,True
2024-08-22,2024-11-21,2024-11-22,2024-12-21,16,5,60.0,2.23,True
2024-09-22,2024-12-21,2024-12-22,2025-01-21,12,7,28.57,-2.27,False
2024-11-22,2025-02-21,2025-02-22,2025-03-21,5,5,20.0,-2.42,False
2025-02-22,2025-05-21,2025-05-22,2025-06-21,9,8,75.0,2.52,True
2025-04-22,2025-07-21,2025-07-22,2025-08-21,14,7,85.71,2.89,True
2025-05-22,2025-08-21,2025-08-22,2025-09-21,18,12,58.33,1.33,True
2025-06-22,2025-09-21,2025-09-22,2025-10-21,22,10,20.0,-2.5,False
2025-07-22,2025-10-21,2025-10-22,2025-11-21,10,7,71.43,2.1,True
2025-08-22,2025-11-21,2025-11-22,2025-12-21,17,9,66.67,0.94,True
2025-10-22,2026-01-21,2026-01-22,2026-02-21,10,6,100.0,8.44,True
2025-12-22,2026-03-21,2026-03-22,2026-04-21,10,5,20.0,-0.47,False
2026-01-22,2026-04-21,2026-04-22,2026-05-21,11,5,40.0,0.17,True
