train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-08,2024-05-07,2024-05-08,2024-06-07,14,14,57.14,0.43,True
2024-03-08,2024-06-07,2024-06-08,2024-07-07,22,13,53.85,0.65,True
2024-05-08,2024-08-07,2024-08-08,2024-09-07,31,6,50.0,-0.1,False
2024-08-08,2024-11-07,2024-11-08,2024-12-07,10,5,60.0,0.26,True
2024-10-08,2025-01-07,2025-01-08,2025-02-07,8,5,60.0,-0.04,False
2024-11-08,2025-02-07,2025-02-08,2025-03-07,10,18,72.22,1.02,True
2024-12-08,2025-03-07,2025-03-08,2025-04-07,26,11,18.18,-0.92,False
2025-02-08,2025-05-07,2025-05-08,2025-06-07,29,8,75.0,4.35,True
2025-03-08,2025-06-07,2025-06-08,2025-07-07,11,16,68.75,2.27,True
2025-05-08,2025-08-07,2025-08-08,2025-09-07,16,8,37.5,-3.69,False
2025-08-08,2025-11-07,2025-11-08,2025-12-07,4,7,71.43,0.37,True
2025-09-08,2025-12-07,2025-12-08,2026-01-07,11,7,42.86,0.12,True
2025-10-08,2026-01-07,2026-01-08,2026-02-07,18,6,0.0,-3.73,False
2025-11-08,2026-02-07,2026-02-08,2026-03-07,20,7,14.29,-5.38,False
2026-01-08,2026-04-07,2026-04-08,2026-05-07,17,7,42.86,0.26,True
2026-02-08,2026-05-07,2026-05-08,2026-06-07,18,6,50.0,-1.09,False
