train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-05-01,2024-05-02,2024-06-01,9,5,20.0,-3.3,False
2024-03-02,2024-06-01,2024-06-02,2024-07-01,13,5,40.0,-1.18,False
2024-04-02,2024-07-01,2024-07-02,2024-08-01,16,7,14.29,-2.24,False
2024-06-02,2024-09-01,2024-09-02,2024-10-01,16,8,62.5,-0.09,False
2024-08-02,2024-11-01,2024-11-02,2024-12-01,15,6,83.33,0.47,True
2024-09-02,2024-12-01,2024-12-02,2025-01-01,17,17,35.29,-0.85,False
2024-11-02,2025-02-01,2025-02-02,2025-03-01,10,9,77.78,2.3,True
2025-03-02,2025-06-01,2025-06-02,2025-07-01,4,7,57.14,-0.35,False
2025-05-02,2025-08-01,2025-08-02,2025-09-01,7,6,66.67,0.49,True
2025-09-02,2025-12-01,2025-12-02,2026-01-01,4,12,75.0,6.54,True
2025-10-02,2026-01-01,2026-01-02,2026-02-01,18,9,22.22,-3.31,False
2025-11-02,2026-02-01,2026-02-02,2026-03-01,25,7,14.29,-3.24,False
2025-12-02,2026-03-01,2026-03-02,2026-04-01,8,14,50.0,-1.26,False
2026-03-02,2026-06-01,2026-06-02,2026-07-01,19,6,33.33,-2.52,False
