train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-08,2024-04-07,2024-04-08,2024-05-07,8,11,81.82,3.37,True
2024-03-08,2024-06-07,2024-06-08,2024-07-07,14,7,71.43,11.26,True
2024-04-08,2024-07-07,2024-07-08,2024-08-07,11,5,0.0,-10.0,False
2024-05-08,2024-08-07,2024-08-08,2024-09-07,12,15,20.0,-2.15,False
2024-06-08,2024-09-07,2024-09-08,2024-10-07,27,10,10.0,-0.72,False
2024-07-08,2024-10-07,2024-10-08,2024-11-07,11,12,25.0,-0.54,False
2024-09-08,2024-12-07,2024-12-08,2025-01-07,22,5,0.0,-3.02,False
2024-10-08,2025-01-07,2025-01-08,2025-02-07,12,13,61.54,2.39,True
2025-03-08,2025-06-07,2025-06-08,2025-07-07,6,12,41.67,0.04,True
2025-04-08,2025-07-07,2025-07-08,2025-08-07,12,9,77.78,0.93,True
2025-05-08,2025-08-07,2025-08-08,2025-09-07,21,8,0.0,-4.07,False
2025-06-08,2025-09-07,2025-09-08,2025-10-07,29,12,58.33,0.0,True
2025-07-08,2025-10-07,2025-10-08,2025-11-07,29,14,57.14,0.58,True
2025-08-08,2025-11-07,2025-11-08,2025-12-07,34,10,40.0,-0.08,False
2025-09-08,2025-12-07,2025-12-08,2026-01-07,36,15,40.0,-0.22,False
2025-10-08,2026-01-07,2026-01-08,2026-02-07,39,5,20.0,0.27,True
2025-11-08,2026-02-07,2026-02-08,2026-03-07,27,5,100.0,1.69,True
2025-12-08,2026-03-07,2026-03-08,2026-04-07,22,6,66.67,0.87,True
2026-01-08,2026-04-07,2026-04-08,2026-05-07,9,5,60.0,1.45,True
