Mã,Trạng thái dữ liệu,Ngày hiện tại,RSI hiện tại,Dist MA20 %,Volume Ratio,Ret 5 phiên %,Ret 10 phiên %,Số đoạn test,Số đoạn dương,Tỷ lệ đoạn dương %,Win T+5 TB các đoạn %,Lợi TB T+5 các đoạn %,Số mẫu test TB,Độ ổn định mẫu,Lý do ổn định
VIB,OK,2026-05-25,48.57,-0.94,0.49,-1.24,-0.31,12,8,66.67,56.76,0.43,7.08,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
SHB,OK,2026-05-25,37.5,-2.58,0.91,-0.72,-3.18,15,9,60.0,44.27,0.21,8.6,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
SHS,OK,2026-05-25,63.89,1.93,0.5,-1.67,0.0,9,5,55.56,40.78,-0.69,6.44,TRUNG TÍNH,Mẫu không quá xấu nhưng độ ổn định chưa rõ.
ACB,OK,2026-05-25,63.77,2.36,1.85,2.39,3.52,15,8,53.33,43.55,0.04,7.33,TRUNG TÍNH,Mẫu không quá xấu nhưng độ ổn định chưa rõ.
VND,OK,2026-05-25,72.94,6.7,1.58,5.75,7.0,6,3,50.0,58.29,0.53,6.67,TRUNG TÍNH,Mẫu không quá xấu nhưng độ ổn định chưa rõ.
VTO,OK,2026-05-25,36.84,-1.52,0.59,-2.87,-0.84,12,6,50.0,48.78,1.26,8.25,TRUNG TÍNH,Mẫu không quá xấu nhưng độ ổn định chưa rõ.
SBT,OK,2026-05-25,60.38,1.6,1.19,1.95,2.7,11,5,45.45,55.93,0.36,6.36,TRUNG TÍNH,Mẫu không quá xấu nhưng độ ổn định chưa rõ.
MSB,OK,2026-05-25,90.7,7.43,0.72,3.96,7.04,3,2,66.67,77.78,2.33,6.33,MẪU ÍT,"Số đoạn test quá ít, chỉ dùng tham khảo."
IDC,OK,2026-05-25,40.86,-3.15,0.53,0.7,-3.79,16,7,43.75,45.04,-0.14,7.06,YẾU / DỄ HỌC VẸT,Mẫu không ổn định qua các đoạn thời gian.
EVF,OK,2026-05-25,67.35,2.59,0.82,-1.08,3.38,7,3,42.86,31.9,-0.52,6.0,YẾU / DỄ HỌC VẸT,Mẫu không ổn định qua các đoạn thời gian.
KSB,OK,2026-05-25,33.33,-2.37,0.56,-2.83,-2.83,10,4,40.0,37.54,-0.15,8.7,YẾU / DỄ HỌC VẸT,Mẫu không ổn định qua các đoạn thời gian.
SSB,OK,2026-05-25,64.57,3.11,1.0,3.93,3.03,9,3,33.33,37.35,-0.64,6.67,YẾU / DỄ HỌC VẸT,Mẫu không ổn định qua các đoạn thời gian.
APH,OK,2026-05-25,26.67,-2.22,0.67,-1.59,-2.46,9,3,33.33,48.64,-0.41,6.56,YẾU / DỄ HỌC VẸT,Mẫu không ổn định qua các đoạn thời gian.
APG,OK,2026-05-25,23.08,-4.39,0.72,-2.93,-4.53,6,2,33.33,19.74,-0.7,8.5,YẾU / DỄ HỌC VẸT,Mẫu không ổn định qua các đoạn thời gian.
NLG,OK,2026-05-25,41.9,-2.11,0.88,-0.19,-0.95,16,5,31.25,44.78,-0.79,8.12,YẾU / DỄ HỌC VẸT,Mẫu không ổn định qua các đoạn thời gian.
