train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-22,2024-02-21,2024-02-22,2024-03-21,8,4,25.0,-0.09,False
2024-01-22,2024-03-21,2024-03-22,2024-04-21,11,4,25.0,-1.9,False
2024-02-22,2024-04-21,2024-04-22,2024-05-21,6,5,100.0,3.63,True
2024-03-22,2024-05-21,2024-05-22,2024-06-21,9,9,55.56,2.39,True
2024-04-22,2024-06-21,2024-06-22,2024-07-21,14,3,0.0,-4.61,False
2024-11-22,2025-01-21,2025-01-22,2025-02-21,5,3,33.33,-0.24,False
2024-12-22,2025-02-21,2025-02-22,2025-03-21,4,4,0.0,-2.19,False
2025-02-22,2025-04-21,2025-04-22,2025-05-21,4,6,66.67,1.21,True
2025-03-22,2025-05-21,2025-05-22,2025-06-21,6,7,57.14,-0.05,False
2025-04-22,2025-06-21,2025-06-22,2025-07-21,9,7,100.0,3.73,True
2025-05-22,2025-07-21,2025-07-22,2025-08-21,14,6,66.67,1.95,True
2025-08-22,2025-10-21,2025-10-22,2025-11-21,3,4,25.0,-0.79,False
2025-09-22,2025-11-21,2025-11-22,2025-12-21,6,4,75.0,-0.36,False
2026-02-22,2026-04-21,2026-04-22,2026-05-21,2,4,0.0,-3.3,False
