train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-20,2024-02-19,2024-02-20,2024-03-19,13,6,16.67,-0.59,False
2024-01-20,2024-03-19,2024-03-20,2024-04-19,8,3,0.0,-6.57,False
2024-02-20,2024-04-19,2024-04-20,2024-05-19,6,3,100.0,12.0,True
2024-03-20,2024-05-19,2024-05-20,2024-06-19,3,4,50.0,-0.84,False
2024-04-20,2024-06-19,2024-06-20,2024-07-19,7,3,0.0,-4.12,False
2024-06-20,2024-08-19,2024-08-20,2024-09-19,3,3,0.0,-2.11,False
2024-07-20,2024-09-19,2024-09-20,2024-10-19,3,4,0.0,-0.31,False
2024-11-20,2025-01-19,2025-01-20,2025-02-19,3,4,75.0,3.32,True
2024-12-20,2025-02-19,2025-02-20,2025-03-19,6,6,50.0,2.05,True
2025-01-20,2025-03-19,2025-03-20,2025-04-19,10,3,0.0,-3.37,False
2025-02-20,2025-04-19,2025-04-20,2025-05-19,9,7,85.71,1.71,True
2025-03-20,2025-05-19,2025-05-20,2025-06-19,10,12,66.67,2.86,True
2025-04-20,2025-06-19,2025-06-20,2025-07-19,19,8,25.0,0.44,True
2025-07-20,2025-09-19,2025-09-20,2025-10-19,3,6,100.0,1.71,True
2025-08-20,2025-10-19,2025-10-20,2025-11-19,6,13,53.85,1.69,True
2025-09-20,2025-11-19,2025-11-20,2025-12-19,8,8,87.5,4.45,True
2025-10-20,2025-12-19,2025-12-20,2026-01-19,10,7,57.14,0.55,True
2025-12-20,2026-02-19,2026-02-20,2026-03-19,7,5,0.0,-1.72,False
2026-01-20,2026-03-19,2026-03-20,2026-04-19,6,5,60.0,1.37,True
2026-02-20,2026-04-19,2026-04-20,2026-05-19,5,4,75.0,1.0,True
