train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-22,2024-05-21,2024-05-22,2024-06-21,3,10,30.0,-0.79,False
2024-02-22,2024-06-21,2024-06-22,2024-07-21,13,7,14.29,-4.6,False
2024-05-22,2024-09-21,2024-09-22,2024-10-21,20,5,40.0,-1.33,False
2024-06-22,2024-10-21,2024-10-22,2024-11-21,15,6,83.33,0.31,True
2024-07-22,2024-11-21,2024-11-22,2024-12-21,19,9,11.11,-4.35,False
2025-02-22,2025-06-21,2025-06-22,2025-07-21,1,7,28.57,0.36,True
2025-05-22,2025-09-21,2025-09-22,2025-10-21,5,7,71.43,0.93,True
2025-06-22,2025-10-21,2025-10-22,2025-11-21,7,14,0.0,-1.15,False
2025-07-22,2025-11-21,2025-11-22,2025-12-21,19,5,20.0,-0.93,False
2025-08-22,2025-12-21,2025-12-22,2026-01-21,22,12,16.67,-0.35,False
2025-11-22,2026-03-21,2026-03-22,2026-04-21,5,5,20.0,-2.72,False
2025-12-22,2026-04-21,2026-04-22,2026-05-21,21,10,10.0,-1.65,False
2026-01-22,2026-05-21,2026-05-22,2026-06-21,12,9,22.22,-2.1,False
