train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-05-28,2024-05-29,2024-06-28,9,6,16.67,-7.36,False
2024-03-29,2024-07-28,2024-07-29,2024-08-28,8,5,0.0,-4.71,False
2024-05-29,2024-09-28,2024-09-29,2024-10-28,7,8,50.0,0.12,True
2024-06-29,2024-10-28,2024-10-29,2024-11-28,13,8,62.5,2.63,True
2024-07-29,2024-11-28,2024-11-29,2024-12-28,18,6,83.33,2.32,True
2024-08-29,2024-12-28,2024-12-29,2025-01-28,22,5,80.0,4.26,True
2024-09-29,2025-01-28,2025-01-29,2025-02-27,27,7,42.86,0.22,True
2025-03-28,2025-07-27,2025-07-28,2025-08-27,7,13,30.77,-1.09,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,18,9,66.67,1.53,True
2025-07-28,2025-11-27,2025-11-28,2025-12-27,11,5,20.0,-2.86,False
2025-08-28,2025-12-27,2025-12-28,2026-01-27,11,5,20.0,-2.01,False
2025-12-28,2026-04-27,2026-04-28,2026-05-27,11,5,0.0,-1.61,False
