train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-18,2024-05-17,2024-05-18,2024-06-17,15,5,20.0,-2.81,False
2024-02-18,2024-06-17,2024-06-18,2024-07-17,11,5,20.0,-5.56,False
2024-03-18,2024-07-17,2024-07-18,2024-08-17,15,7,71.43,-0.05,False
2024-04-18,2024-08-17,2024-08-18,2024-09-17,15,6,66.67,5.22,True
2024-11-18,2025-03-17,2025-03-18,2025-04-17,7,6,50.0,1.41,True
2025-02-18,2025-06-17,2025-06-18,2025-07-17,10,5,0.0,-2.36,False
2025-04-18,2025-08-17,2025-08-18,2025-09-17,11,9,33.33,-0.33,False
2025-05-18,2025-09-17,2025-09-18,2025-10-17,19,5,40.0,-1.32,False
2025-06-18,2025-10-17,2025-10-18,2025-11-17,21,5,80.0,0.57,True
2025-09-18,2026-01-17,2026-01-18,2026-02-17,14,5,80.0,1.23,True
2026-01-18,2026-05-17,2026-05-18,2026-06-17,16,6,16.67,-0.22,False
