train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-27,2024-06-26,2024-06-27,2024-07-26,7,7,57.14,1.12,True
2024-03-27,2024-07-26,2024-07-27,2024-08-26,11,9,66.67,3.09,True
2024-04-27,2024-08-26,2024-08-27,2024-09-26,19,6,33.33,-0.7,False
2024-05-27,2024-09-26,2024-09-27,2024-10-26,22,11,54.55,-0.76,False
2024-07-27,2024-11-26,2024-11-27,2024-12-26,26,9,44.44,0.01,True
2024-08-27,2024-12-26,2024-12-27,2025-01-26,26,13,61.54,0.21,True
2024-09-27,2025-01-26,2025-01-27,2025-02-26,33,6,100.0,1.52,True
2024-10-27,2025-02-26,2025-02-27,2025-03-26,28,7,57.14,-0.22,False
2024-12-27,2025-04-26,2025-04-27,2025-05-26,26,6,66.67,0.23,True
2025-01-27,2025-05-26,2025-05-27,2025-06-26,19,6,33.33,-0.77,False
2025-02-27,2025-06-26,2025-06-27,2025-07-26,19,7,100.0,3.74,True
2025-03-27,2025-07-26,2025-07-27,2025-08-26,13,7,100.0,4.15,True
2025-05-27,2025-09-26,2025-09-27,2025-10-26,18,5,20.0,-3.19,False
2025-06-27,2025-10-26,2025-10-27,2025-11-26,13,9,11.11,-1.35,False
2025-07-27,2025-11-26,2025-11-27,2025-12-26,21,6,100.0,1.56,True
2025-08-27,2025-12-26,2025-12-27,2026-01-26,20,5,100.0,18.48,True
2025-09-27,2026-01-26,2026-01-27,2026-02-26,18,5,0.0,-7.73,False
2025-11-27,2026-03-26,2026-03-27,2026-04-26,10,11,45.45,0.26,True
2025-12-27,2026-04-26,2026-04-27,2026-05-26,15,5,100.0,4.75,True
