train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-05-28,2024-05-29,2024-06-28,14,8,50.0,-0.37,False
2024-03-29,2024-07-28,2024-07-29,2024-08-28,16,6,66.67,1.93,True
2024-05-29,2024-09-28,2024-09-29,2024-10-28,18,8,100.0,6.29,True
2024-06-29,2024-10-28,2024-10-29,2024-11-28,11,6,66.67,0.99,True
2024-07-29,2024-11-28,2024-11-29,2024-12-28,13,5,100.0,5.62,True
2024-08-29,2024-12-28,2024-12-29,2025-01-28,7,5,0.0,-1.16,False
2024-09-29,2025-01-28,2025-01-29,2025-02-27,12,12,33.33,-0.7,False
2024-10-29,2025-02-27,2025-02-28,2025-03-27,13,9,44.44,-0.02,False
2024-11-29,2025-03-28,2025-03-29,2025-04-28,9,5,60.0,2.94,True
2025-01-29,2025-05-28,2025-05-29,2025-06-28,5,7,42.86,0.05,True
2025-05-28,2025-09-27,2025-09-28,2025-10-27,11,6,33.33,2.34,True
2025-07-28,2025-11-27,2025-11-28,2025-12-27,14,5,60.0,4.56,True
2025-08-28,2025-12-27,2025-12-28,2026-01-27,16,12,16.67,-3.97,False
2025-10-28,2026-02-27,2026-02-28,2026-03-27,14,6,0.0,-7.36,False
2025-11-28,2026-03-27,2026-03-28,2026-04-27,11,7,85.71,6.06,True
2026-01-28,2026-05-27,2026-05-28,2026-06-27,10,5,60.0,4.01,True
