train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-20,2024-02-19,2024-02-20,2024-03-19,17,4,25.0,0.39,True
2024-01-20,2024-03-19,2024-03-20,2024-04-19,14,6,33.33,-2.21,False
2024-02-20,2024-04-19,2024-04-20,2024-05-19,10,3,100.0,3.69,True
2024-03-20,2024-05-19,2024-05-20,2024-06-19,9,3,66.67,3.36,True
2024-04-20,2024-06-19,2024-06-20,2024-07-19,4,6,33.33,-0.71,False
2024-05-20,2024-07-19,2024-07-20,2024-08-19,7,3,66.67,2.23,True
2024-06-20,2024-08-19,2024-08-20,2024-09-19,9,4,75.0,0.75,True
2024-07-20,2024-09-19,2024-09-20,2024-10-19,7,4,25.0,-3.82,False
2024-10-20,2024-12-19,2024-12-20,2025-01-19,2,3,0.0,-6.49,False
2024-12-20,2025-02-19,2025-02-20,2025-03-19,4,6,0.0,-2.03,False
2025-01-20,2025-03-19,2025-03-20,2025-04-19,8,4,0.0,-13.57,False
2025-02-20,2025-04-19,2025-04-20,2025-05-19,10,3,100.0,11.3,True
2025-03-20,2025-05-19,2025-05-20,2025-06-19,7,8,62.5,4.05,True
2025-04-20,2025-06-19,2025-06-20,2025-07-19,11,6,100.0,1.24,True
2025-06-20,2025-08-19,2025-08-20,2025-09-19,6,6,66.67,4.02,True
2025-07-20,2025-09-19,2025-09-20,2025-10-19,6,11,72.73,2.02,True
2025-08-20,2025-10-19,2025-10-20,2025-11-19,17,10,10.0,-2.43,False
2025-09-20,2025-11-19,2025-11-20,2025-12-19,21,3,0.0,-2.36,False
2026-01-20,2026-03-19,2026-03-20,2026-04-19,2,4,0.0,-1.52,False
2026-02-20,2026-04-19,2026-04-20,2026-05-19,5,4,50.0,1.11,True
