train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-08,2024-06-07,2024-06-08,2024-07-07,25,7,42.86,0.6,True
2024-04-08,2024-08-07,2024-08-08,2024-09-07,15,5,100.0,3.06,True
2024-05-08,2024-09-07,2024-09-08,2024-10-07,16,5,60.0,1.94,True
2024-06-08,2024-10-07,2024-10-08,2024-11-07,21,12,33.33,-0.66,False
2024-07-08,2024-11-07,2024-11-08,2024-12-07,26,10,30.0,0.11,True
2024-09-08,2025-01-07,2025-01-08,2025-02-07,27,9,88.89,4.82,True
2024-11-08,2025-03-07,2025-03-08,2025-04-07,12,10,10.0,-8.02,False
2025-05-08,2025-09-07,2025-09-08,2025-10-07,4,5,0.0,-2.13,False
2025-06-08,2025-10-07,2025-10-08,2025-11-07,9,11,0.0,-3.79,False
2025-07-08,2025-11-07,2025-11-08,2025-12-07,16,7,28.57,-0.21,False
2025-08-08,2025-12-07,2025-12-08,2026-01-07,23,6,66.67,2.63,True
2025-10-08,2026-02-07,2026-02-08,2026-03-07,27,7,28.57,-2.92,False
