train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-05-28,2024-05-29,2024-06-28,21,6,16.67,-1.86,False
2024-02-29,2024-06-28,2024-06-29,2024-07-28,20,8,12.5,-1.83,False
2024-03-29,2024-07-28,2024-07-29,2024-08-28,21,10,70.0,1.54,True
2024-04-29,2024-08-28,2024-08-29,2024-09-28,21,6,83.33,1.49,True
2024-07-29,2024-11-28,2024-11-29,2024-12-28,14,8,75.0,0.2,True
2024-08-29,2024-12-28,2024-12-29,2025-01-28,21,8,50.0,-0.16,False
2024-09-29,2025-01-28,2025-01-29,2025-02-27,23,5,100.0,3.92,True
2024-10-29,2025-02-27,2025-02-28,2025-03-27,20,13,46.15,-0.08,False
2025-01-29,2025-05-28,2025-05-29,2025-06-28,16,7,28.57,0.21,True
2025-09-28,2026-01-27,2026-01-28,2026-02-27,6,9,11.11,-5.63,False
2025-12-28,2026-04-27,2026-04-28,2026-05-27,14,7,42.86,-1.27,False
