train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-04-15,2024-08-14,2024-08-15,2024-09-14,8,6,16.67,-0.99,False
2024-05-15,2024-09-14,2024-09-15,2024-10-14,6,5,0.0,-2.49,False
2024-06-15,2024-10-14,2024-10-15,2024-11-14,6,5,40.0,-0.68,False
2024-07-15,2024-11-14,2024-11-15,2024-12-14,11,7,57.14,3.45,True
2024-08-15,2024-12-14,2024-12-15,2025-01-14,12,8,62.5,-0.67,False
2024-10-15,2025-02-14,2025-02-15,2025-03-14,14,6,33.33,-0.09,False
2024-12-15,2025-04-14,2025-04-15,2025-05-14,14,9,88.89,1.41,True
2025-02-15,2025-06-14,2025-06-15,2025-07-14,19,6,50.0,1.47,True
2025-03-15,2025-07-14,2025-07-15,2025-08-14,19,5,100.0,13.72,True
2025-04-15,2025-08-14,2025-08-15,2025-09-14,24,9,55.56,-0.52,False
2025-10-15,2026-02-14,2026-02-15,2026-03-14,4,5,0.0,-8.46,False
2025-11-15,2026-03-14,2026-03-15,2026-04-14,5,6,33.33,-1.22,False
2026-01-15,2026-05-14,2026-05-15,2026-06-14,8,6,50.0,1.58,True
