train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-28,2024-04-27,2024-04-28,2024-05-27,16,10,40.0,-0.99,False
2024-01-28,2024-05-27,2024-05-28,2024-06-27,23,10,20.0,-1.78,False
2024-02-28,2024-06-27,2024-06-28,2024-07-27,30,8,37.5,0.5,True
2024-05-28,2024-09-27,2024-09-28,2024-10-27,26,7,85.71,0.35,True
2024-06-28,2024-10-27,2024-10-28,2024-11-27,23,14,35.71,-1.5,False
2024-07-28,2024-11-27,2024-11-28,2024-12-27,16,5,100.0,4.89,True
2024-08-28,2024-12-27,2024-12-28,2025-01-27,17,8,50.0,1.07,True
2024-10-28,2025-02-27,2025-02-28,2025-03-27,16,10,50.0,0.34,True
2024-12-28,2025-04-27,2025-04-28,2025-05-27,20,8,75.0,1.65,True
2025-01-28,2025-05-27,2025-05-28,2025-06-27,14,8,62.5,2.17,True
2025-03-28,2025-07-27,2025-07-28,2025-08-27,4,12,91.67,3.33,True
2025-04-28,2025-08-27,2025-08-28,2025-09-27,6,11,45.45,0.21,True
2025-05-28,2025-09-27,2025-09-28,2025-10-27,15,5,100.0,4.83,True
2025-06-28,2025-10-27,2025-10-28,2025-11-27,18,8,37.5,0.45,True
2025-07-28,2025-11-27,2025-11-28,2025-12-27,26,12,83.33,1.65,True
2025-08-28,2025-12-27,2025-12-28,2026-01-27,36,5,100.0,6.81,True
2025-09-28,2026-01-27,2026-01-28,2026-02-27,30,5,20.0,-3.05,False
2025-11-28,2026-03-27,2026-03-28,2026-04-27,23,13,61.54,0.62,True
2025-12-28,2026-04-27,2026-04-28,2026-05-27,24,7,71.43,1.28,True
