train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-29,2024-04-28,2024-04-29,2024-05-28,10,5,80.0,2.04,True
2024-01-29,2024-05-28,2024-05-29,2024-06-28,10,9,88.89,9.11,True
2024-03-29,2024-07-28,2024-07-29,2024-08-28,21,8,50.0,1.26,True
2024-04-29,2024-08-28,2024-08-29,2024-09-28,19,7,57.14,1.85,True
2024-05-29,2024-09-28,2024-09-29,2024-10-28,16,6,50.0,0.06,True
2024-06-29,2024-10-28,2024-10-29,2024-11-28,13,8,12.5,-3.48,False
2024-07-29,2024-11-28,2024-11-29,2024-12-28,10,5,80.0,2.27,True
2024-08-29,2024-12-28,2024-12-29,2025-01-28,13,6,100.0,4.01,True
2024-09-29,2025-01-28,2025-01-29,2025-02-27,17,5,0.0,-3.68,False
2024-10-29,2025-02-27,2025-02-28,2025-03-27,16,7,0.0,-3.0,False
2025-03-28,2025-07-27,2025-07-28,2025-08-27,8,8,12.5,-3.13,False
2025-04-28,2025-08-27,2025-08-28,2025-09-27,8,9,33.33,-1.24,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,16,8,25.0,-1.59,False
2025-07-28,2025-11-27,2025-11-28,2025-12-27,21,5,80.0,-0.12,False
2025-09-28,2026-01-27,2026-01-28,2026-02-27,17,6,0.0,-6.44,False
2025-11-28,2026-03-27,2026-03-28,2026-04-27,12,6,66.67,0.63,True
2025-12-28,2026-04-27,2026-04-28,2026-05-27,16,6,50.0,2.45,True
