train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-22,2024-04-21,2024-04-22,2024-05-21,7,7,85.71,5.97,True
2024-02-22,2024-06-21,2024-06-22,2024-07-21,11,6,66.67,2.66,True
2024-05-22,2024-09-21,2024-09-22,2024-10-21,7,5,0.0,-5.85,False
2024-06-22,2024-10-21,2024-10-22,2024-11-21,7,6,0.0,-4.64,False
2024-07-22,2024-11-21,2024-11-22,2024-12-21,12,6,66.67,1.38,True
2024-08-22,2024-12-21,2024-12-22,2025-01-21,17,8,12.5,-3.42,False
2024-11-22,2025-03-21,2025-03-22,2025-04-21,16,5,20.0,-10.58,False
2024-12-22,2025-04-21,2025-04-22,2025-05-21,11,5,100.0,2.73,True
2025-05-22,2025-09-21,2025-09-22,2025-10-21,6,5,100.0,7.29,True
2025-07-22,2025-11-21,2025-11-22,2025-12-21,10,5,60.0,-0.48,False
2025-08-22,2025-12-21,2025-12-22,2026-01-21,15,5,0.0,-5.28,False
2025-11-22,2026-03-21,2026-03-22,2026-04-21,13,5,80.0,0.9,True
