train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-06-01,2024-06-02,2024-07-01,6,9,33.33,-0.97,False
2024-03-02,2024-07-01,2024-07-02,2024-08-01,4,9,44.44,-1.09,False
2024-05-02,2024-09-01,2024-09-02,2024-10-01,3,12,33.33,-1.35,False
2024-08-02,2024-12-01,2024-12-02,2025-01-01,18,8,12.5,-0.99,False
2024-10-02,2025-02-01,2025-02-02,2025-03-01,11,5,80.0,1.54,True
2025-03-02,2025-07-01,2025-07-02,2025-08-01,7,14,57.14,0.51,True
2025-04-02,2025-08-01,2025-08-02,2025-09-01,8,6,0.0,-5.26,False
2025-05-02,2025-09-01,2025-09-02,2025-10-01,14,8,0.0,-3.48,False
2025-07-02,2025-11-01,2025-11-02,2025-12-01,9,10,60.0,4.38,True
2025-10-02,2026-02-01,2026-02-02,2026-03-01,3,9,44.44,-3.02,False
2025-11-02,2026-03-01,2026-03-02,2026-04-01,3,5,20.0,-2.56,False
2025-12-02,2026-04-01,2026-04-02,2026-05-01,3,10,30.0,-1.23,False
