train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-22,2024-06-21,2024-06-22,2024-07-21,10,8,25.0,-1.89,False
2024-03-22,2024-07-21,2024-07-22,2024-08-21,12,7,28.57,-2.22,False
2024-05-22,2024-09-21,2024-09-22,2024-10-21,21,9,88.89,1.25,True
2024-06-22,2024-10-21,2024-10-22,2024-11-21,20,8,62.5,0.17,True
2024-09-22,2025-01-21,2025-01-22,2025-02-21,13,6,66.67,0.03,True
2024-10-22,2025-02-21,2025-02-22,2025-03-21,18,8,0.0,-1.1,False
2024-12-22,2025-04-21,2025-04-22,2025-05-21,14,6,66.67,1.29,True
2025-02-22,2025-06-21,2025-06-22,2025-07-21,10,8,87.5,7.32,True
2025-07-22,2025-11-21,2025-11-22,2025-12-21,9,5,60.0,6.25,True
2025-08-22,2025-12-21,2025-12-22,2026-01-21,9,5,0.0,-1.06,False
2025-09-22,2026-01-21,2026-01-22,2026-02-21,8,6,0.0,-9.15,False
2025-10-22,2026-02-21,2026-02-22,2026-03-21,5,11,0.0,-4.86,False
2025-11-22,2026-03-21,2026-03-22,2026-04-21,6,5,0.0,-1.22,False
2025-12-22,2026-04-21,2026-04-22,2026-05-21,10,5,80.0,1.63,True
