train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-22,2024-05-21,2024-05-22,2024-06-21,16,7,28.57,-1.12,False
2024-02-22,2024-06-21,2024-06-22,2024-07-21,17,11,0.0,-4.62,False
2024-04-22,2024-08-21,2024-08-22,2024-09-21,22,7,28.57,-2.95,False
2024-06-22,2024-10-21,2024-10-22,2024-11-21,15,10,50.0,-0.25,False
2024-07-22,2024-11-21,2024-11-22,2024-12-21,14,11,45.45,-0.11,False
2024-09-22,2025-01-21,2025-01-22,2025-02-21,27,5,100.0,4.29,True
2024-11-22,2025-03-21,2025-03-22,2025-04-21,20,6,0.0,-13.88,False
2024-12-22,2025-04-21,2025-04-22,2025-05-21,15,5,100.0,2.31,True
2025-02-22,2025-06-21,2025-06-22,2025-07-21,13,7,85.71,3.64,True
2025-04-22,2025-08-21,2025-08-22,2025-09-21,13,7,85.71,1.99,True
2025-05-22,2025-09-21,2025-09-22,2025-10-21,15,5,40.0,0.59,True
2025-06-22,2025-10-21,2025-10-22,2025-11-21,19,6,16.67,-2.51,False
2025-07-22,2025-11-21,2025-11-22,2025-12-21,18,7,0.0,-3.93,False
2025-09-22,2026-01-21,2026-01-22,2026-02-21,18,7,0.0,-3.58,False
2025-11-22,2026-03-21,2026-03-22,2026-04-21,15,9,66.67,3.21,True
2025-12-22,2026-04-21,2026-04-22,2026-05-21,17,6,66.67,1.36,True
