train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-27,2024-06-26,2024-06-27,2024-07-26,7,9,77.78,2.77,True
2024-03-27,2024-07-26,2024-07-27,2024-08-26,16,5,40.0,-2.49,False
2024-05-27,2024-09-26,2024-09-27,2024-10-26,17,12,41.67,0.01,True
2024-06-27,2024-10-26,2024-10-27,2024-11-26,26,5,80.0,1.95,True
2024-07-27,2024-11-26,2024-11-27,2024-12-26,22,6,83.33,0.71,True
2024-08-27,2024-12-26,2024-12-27,2025-01-26,18,13,53.85,0.71,True
2024-10-27,2025-02-26,2025-02-27,2025-03-26,19,7,0.0,-0.8,False
2024-11-27,2025-03-26,2025-03-27,2025-04-26,21,11,36.36,-2.81,False
2025-04-27,2025-08-26,2025-08-27,2025-09-26,3,8,50.0,0.67,True
2025-05-27,2025-09-26,2025-09-27,2025-10-26,8,9,22.22,-2.08,False
2025-07-27,2025-11-26,2025-11-27,2025-12-26,19,15,40.0,-0.48,False
2025-11-27,2026-03-26,2026-03-27,2026-04-26,15,5,0.0,-3.47,False
2025-12-27,2026-04-26,2026-04-27,2026-05-26,5,6,83.33,2.55,True
