train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-15,2024-07-14,2024-07-15,2024-08-14,15,6,50.0,-2.04,False
2024-04-15,2024-08-14,2024-08-15,2024-09-14,10,7,71.43,1.19,True
2024-05-15,2024-09-14,2024-09-15,2024-10-14,16,14,57.14,1.13,True
2024-07-15,2024-11-14,2024-11-15,2024-12-14,13,5,80.0,1.03,True
2024-08-15,2024-12-14,2024-12-15,2025-01-14,17,7,0.0,-1.99,False
2024-09-15,2025-01-14,2025-01-15,2025-02-14,11,5,60.0,2.06,True
2025-01-15,2025-05-14,2025-05-15,2025-06-14,6,16,68.75,1.03,True
2025-02-15,2025-06-14,2025-06-15,2025-07-14,20,11,54.55,-0.25,False
2025-03-15,2025-07-14,2025-07-15,2025-08-14,28,7,71.43,1.17,True
2025-06-15,2025-10-14,2025-10-15,2025-11-14,18,8,37.5,-0.81,False
2025-08-15,2025-12-14,2025-12-15,2026-01-14,11,5,80.0,7.03,True
2025-09-15,2026-01-14,2026-01-15,2026-02-14,13,5,0.0,-4.18,False
2025-11-15,2026-03-14,2026-03-15,2026-04-14,10,6,33.33,-1.3,False
2025-12-15,2026-04-14,2026-04-15,2026-05-14,13,12,0.0,-2.91,False
2026-01-15,2026-05-14,2026-05-15,2026-06-14,13,5,0.0,-2.02,False
