train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-27,2024-05-26,2024-05-27,2024-06-26,13,5,20.0,-5.56,False
2024-06-27,2024-10-26,2024-10-27,2024-11-26,11,10,60.0,1.02,True
2024-07-27,2024-11-26,2024-11-27,2024-12-26,10,7,14.29,-2.98,False
2024-08-27,2024-12-26,2024-12-27,2025-01-26,16,5,100.0,1.77,True
2024-10-27,2025-02-26,2025-02-27,2025-03-26,14,8,12.5,-1.35,False
2024-11-27,2025-03-26,2025-03-27,2025-04-26,20,5,40.0,-5.95,False
2025-01-27,2025-05-26,2025-05-27,2025-06-26,13,5,100.0,2.94,True
2025-05-27,2025-09-26,2025-09-27,2025-10-26,10,5,40.0,0.74,True
2025-06-27,2025-10-26,2025-10-27,2025-11-26,5,13,0.0,-1.98,False
2025-07-27,2025-11-26,2025-11-27,2025-12-26,17,11,0.0,-4.07,False
2025-12-27,2026-04-26,2026-04-27,2026-05-26,8,5,100.0,3.31,True
