train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-08,2024-05-07,2024-05-08,2024-06-07,22,9,33.33,-0.43,False
2024-02-08,2024-06-07,2024-06-08,2024-07-07,17,11,18.18,-2.25,False
2024-05-08,2024-09-07,2024-09-08,2024-10-07,28,5,100.0,2.81,True
2024-06-08,2024-10-07,2024-10-08,2024-11-07,24,8,50.0,-0.13,False
2024-07-08,2024-11-07,2024-11-08,2024-12-07,21,9,44.44,-0.43,False
2024-10-08,2025-02-07,2025-02-08,2025-03-07,17,6,83.33,2.76,True
2024-11-08,2025-03-07,2025-03-08,2025-04-07,15,8,0.0,-5.48,False
2025-01-08,2025-05-07,2025-05-08,2025-06-07,16,12,33.33,-0.98,False
2025-02-08,2025-06-07,2025-06-08,2025-07-07,28,13,61.54,0.66,True
2025-05-08,2025-09-07,2025-09-08,2025-10-07,28,6,83.33,2.55,True
2025-06-08,2025-10-07,2025-10-08,2025-11-07,22,6,33.33,-4.3,False
2025-07-08,2025-11-07,2025-11-08,2025-12-07,15,12,58.33,2.59,True
2025-09-08,2026-01-07,2026-01-08,2026-02-07,28,12,33.33,-1.36,False
2025-10-08,2026-02-07,2026-02-08,2026-03-07,34,8,25.0,-4.0,False
2025-11-08,2026-03-07,2026-03-08,2026-04-07,36,5,60.0,1.83,True
2026-01-08,2026-05-07,2026-05-08,2026-06-07,26,11,18.18,-1.0,False
