train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-05-28,2024-05-29,2024-06-28,10,5,60.0,-1.97,False
2024-05-29,2024-09-28,2024-09-29,2024-10-28,4,5,20.0,-2.84,False
2024-06-29,2024-10-28,2024-10-29,2024-11-28,9,5,100.0,2.84,True
2024-07-29,2024-11-28,2024-11-29,2024-12-28,10,6,50.0,0.67,True
2024-08-29,2024-12-28,2024-12-29,2025-01-28,12,12,50.0,-0.48,False
2025-03-28,2025-07-27,2025-07-28,2025-08-27,4,5,60.0,-0.44,False
2025-04-28,2025-08-27,2025-08-28,2025-09-27,6,12,16.67,-2.79,False
2025-09-28,2026-01-27,2026-01-28,2026-02-27,12,6,33.33,-0.37,False
2025-10-28,2026-02-27,2026-02-28,2026-03-27,14,5,20.0,-7.3,False
2025-12-28,2026-04-27,2026-04-28,2026-05-27,7,5,80.0,1.17,True
