train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-28,2024-04-27,2024-04-28,2024-05-27,20,7,57.14,0.09,True
2024-05-28,2024-09-27,2024-09-28,2024-10-27,9,6,16.67,-1.18,False
2024-07-28,2024-11-27,2024-11-28,2024-12-27,14,14,28.57,-0.21,False
2024-08-28,2024-12-27,2024-12-28,2025-01-27,27,9,22.22,-0.76,False
2024-09-28,2025-01-27,2025-01-28,2025-02-27,32,7,85.71,1.28,True
2024-10-28,2025-02-27,2025-02-28,2025-03-27,28,10,40.0,-0.63,False
2025-02-28,2025-06-27,2025-06-28,2025-07-27,15,6,33.33,0.25,True
2025-03-28,2025-07-27,2025-07-28,2025-08-27,11,5,60.0,1.18,True
2025-04-28,2025-08-27,2025-08-28,2025-09-27,12,13,7.69,-2.01,False
2025-05-28,2025-09-27,2025-09-28,2025-10-27,25,9,44.44,-0.27,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,33,5,100.0,4.45,True
2025-09-28,2026-01-27,2026-01-28,2026-02-27,17,5,100.0,9.62,True
2025-11-28,2026-03-27,2026-03-28,2026-04-27,9,10,20.0,-1.34,False
2025-12-28,2026-04-27,2026-04-28,2026-05-27,16,6,50.0,6.13,True
