train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-22,2024-04-21,2024-04-22,2024-05-21,14,5,100.0,3.13,True
2024-01-22,2024-05-21,2024-05-22,2024-06-21,14,8,50.0,-0.75,False
2024-05-22,2024-09-21,2024-09-22,2024-10-21,18,5,0.0,-2.03,False
2024-09-22,2025-01-21,2025-01-22,2025-02-21,9,8,62.5,2.62,True
2024-11-22,2025-03-21,2025-03-22,2025-04-21,4,5,0.0,-11.24,False
2025-01-22,2025-05-21,2025-05-22,2025-06-21,10,6,33.33,0.59,True
2025-02-22,2025-06-21,2025-06-22,2025-07-21,16,5,0.0,-3.27,False
2025-03-22,2025-07-21,2025-07-22,2025-08-21,17,13,7.69,-4.58,False
2025-06-22,2025-10-21,2025-10-22,2025-11-21,7,7,14.29,-1.88,False
2025-11-22,2026-03-21,2026-03-22,2026-04-21,7,6,16.67,-0.33,False
