train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-28,2024-06-27,2024-06-28,2024-07-27,26,9,22.22,-6.94,False
2024-05-28,2024-09-27,2024-09-28,2024-10-27,17,11,18.18,-0.7,False
2024-06-28,2024-10-27,2024-10-28,2024-11-27,22,9,44.44,0.68,True
2024-09-28,2025-01-27,2025-01-28,2025-02-27,27,5,80.0,5.29,True
2025-02-28,2025-06-27,2025-06-28,2025-07-27,12,5,80.0,7.36,True
2025-03-28,2025-07-27,2025-07-28,2025-08-27,14,5,60.0,4.32,True
2025-04-28,2025-08-27,2025-08-28,2025-09-27,12,15,0.0,-2.11,False
2025-05-28,2025-09-27,2025-09-28,2025-10-27,23,5,0.0,-3.5,False
2025-06-28,2025-10-27,2025-10-28,2025-11-27,20,13,30.77,-0.7,False
2025-07-28,2025-11-27,2025-11-28,2025-12-27,31,6,50.0,1.84,True
2025-08-28,2025-12-27,2025-12-28,2026-01-27,35,9,33.33,0.37,True
2025-09-28,2026-01-27,2026-01-28,2026-02-27,29,9,33.33,-0.53,False
2025-11-28,2026-03-27,2026-03-28,2026-04-27,24,11,27.27,-0.32,False
2025-12-28,2026-04-27,2026-04-28,2026-05-27,29,8,25.0,0.51,True
2026-01-28,2026-05-27,2026-05-28,2026-06-27,28,6,33.33,0.01,True
2026-02-28,2026-06-27,2026-06-28,2026-07-27,25,6,0.0,-2.69,False
