train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-27,2024-04-26,2024-04-27,2024-05-26,19,7,85.71,2.56,True
2024-01-27,2024-05-26,2024-05-27,2024-06-26,18,6,50.0,-0.47,False
2024-04-27,2024-08-26,2024-08-27,2024-09-26,14,9,88.89,2.75,True
2024-05-27,2024-09-26,2024-09-27,2024-10-26,15,5,20.0,-3.18,False
2024-07-27,2024-11-26,2024-11-27,2024-12-26,10,12,50.0,0.95,True
2024-08-27,2024-12-26,2024-12-27,2025-01-26,9,5,20.0,-3.43,False
2024-10-27,2025-02-26,2025-02-27,2025-03-26,8,6,16.67,-3.02,False
2024-12-27,2025-04-26,2025-04-27,2025-05-26,12,6,83.33,0.92,True
2025-01-27,2025-05-26,2025-05-27,2025-06-26,13,8,62.5,2.65,True
2025-03-27,2025-07-26,2025-07-27,2025-08-26,14,5,100.0,7.73,True
2025-07-27,2025-11-26,2025-11-27,2025-12-26,12,11,36.36,-0.82,False
2025-08-27,2025-12-26,2025-12-27,2026-01-26,18,7,28.57,2.79,True
2025-10-27,2026-02-26,2026-02-27,2026-03-26,15,5,0.0,-6.74,False
2025-12-27,2026-04-26,2026-04-27,2026-05-26,7,5,100.0,4.7,True
