train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-18,2024-02-17,2024-02-18,2024-03-17,8,10,40.0,0.48,True
2024-01-18,2024-03-17,2024-03-18,2024-04-17,10,10,50.0,-1.02,False
2024-02-18,2024-04-17,2024-04-18,2024-05-17,20,8,62.5,0.36,True
2024-03-18,2024-05-17,2024-05-18,2024-06-17,18,8,0.0,-2.78,False
2024-04-18,2024-06-17,2024-06-18,2024-07-17,16,6,50.0,-0.25,False
2024-05-18,2024-07-17,2024-07-18,2024-08-17,14,8,100.0,4.58,True
2024-06-18,2024-08-17,2024-08-18,2024-09-17,14,5,60.0,0.19,True
2024-07-18,2024-09-17,2024-09-18,2024-10-17,10,10,50.0,0.56,True
2024-08-18,2024-10-17,2024-10-18,2024-11-17,12,8,12.5,-1.77,False
2024-09-18,2024-11-17,2024-11-18,2024-12-17,12,3,100.0,7.55,True
2024-10-18,2024-12-17,2024-12-18,2025-01-17,3,3,0.0,-11.96,False
2024-11-18,2025-01-17,2025-01-18,2025-02-17,4,6,83.33,1.11,True
2024-12-18,2025-02-17,2025-02-18,2025-03-17,9,11,63.64,0.9,True
2025-01-18,2025-03-17,2025-03-18,2025-04-17,17,4,0.0,-2.16,False
2025-02-18,2025-04-17,2025-04-18,2025-05-17,15,5,60.0,2.14,True
2025-03-18,2025-05-17,2025-05-18,2025-06-17,9,3,33.33,-0.16,False
2025-04-18,2025-06-17,2025-06-18,2025-07-17,8,8,62.5,1.82,True
2025-06-18,2025-08-17,2025-08-18,2025-09-17,8,3,0.0,-1.94,False
2025-07-18,2025-09-17,2025-09-18,2025-10-17,3,3,100.0,5.03,True
2025-08-18,2025-10-17,2025-10-18,2025-11-17,6,6,16.67,-3.23,False
2025-09-18,2025-11-17,2025-11-18,2025-12-17,9,7,100.0,3.23,True
2025-10-18,2025-12-17,2025-12-18,2026-01-17,13,6,83.33,3.94,True
2025-11-18,2026-01-17,2026-01-18,2026-02-17,9,9,11.11,-3.08,False
2025-12-18,2026-02-17,2026-02-18,2026-03-17,11,4,0.0,-7.59,False
2026-01-18,2026-03-17,2026-03-18,2026-04-17,13,7,100.0,1.67,True
2026-02-18,2026-04-17,2026-04-18,2026-05-17,11,3,33.33,0.63,True
