train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-15,2024-07-14,2024-07-15,2024-08-14,17,10,10.0,-6.5,False
2024-09-15,2025-01-14,2025-01-15,2025-02-14,6,7,28.57,0.41,True
2024-10-15,2025-02-14,2025-02-15,2025-03-14,12,8,62.5,-0.82,False
2024-11-15,2025-03-14,2025-03-15,2025-04-14,16,8,0.0,-2.59,False
2025-01-15,2025-05-14,2025-05-15,2025-06-14,7,15,33.33,0.23,True
2025-04-15,2025-08-14,2025-08-15,2025-09-14,12,7,42.86,0.46,True
2025-06-15,2025-10-14,2025-10-15,2025-11-14,10,16,43.75,0.78,True
2025-07-15,2025-11-14,2025-11-15,2025-12-14,8,8,25.0,-0.41,False
2025-09-15,2026-01-14,2026-01-15,2026-02-14,6,5,80.0,1.28,True
2025-10-15,2026-02-14,2026-02-15,2026-03-14,33,9,11.11,-4.01,False
2025-11-15,2026-03-14,2026-03-15,2026-04-14,3,9,66.67,1.11,True
2026-01-15,2026-05-14,2026-05-15,2026-06-14,23,13,23.08,-0.42,False
